id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21981656_0001-50,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-50?routing=ukmhl-b21981656_0001,50,30,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/50.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0050.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0050.jp2
ukmhl-b21981656_0001-174,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-174?routing=ukmhl-b21981656_0001,174,154,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/174.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0174.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0174.jp2
ukmhl-b21981656_0001-26,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-26?routing=ukmhl-b21981656_0001,26,6,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/26.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0026.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0026.jp2
ukmhl-b21981656_0001-267,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-267?routing=ukmhl-b21981656_0001,267,247,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/267.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0267.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0267.jp2
ukmhl-b21981656_0001-55,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-55?routing=ukmhl-b21981656_0001,55,35,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/55.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0055.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0055.jp2
ukmhl-b21981656_0001-90,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-90?routing=ukmhl-b21981656_0001,90,70,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/90.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0090.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0090.jp2
ukmhl-b21981656_0001-68,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-68?routing=ukmhl-b21981656_0001,68,48,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/68.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0068.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0068.jp2
ukmhl-b21981656_0001-146,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-146?routing=ukmhl-b21981656_0001,146,126,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/146.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0146.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0146.jp2
ukmhl-b21981656_0001-217,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-217?routing=ukmhl-b21981656_0001,217,197,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/217.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0217.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0217.jp2
ukmhl-b21981656_0001-5,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-5?routing=ukmhl-b21981656_0001,5,-,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/5.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0005.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0005.jp2
ukmhl-b21981656_0001-183,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-183?routing=ukmhl-b21981656_0001,183,163,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/183.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0183.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0183.jp2
ukmhl-b21981656_0001-362,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-362?routing=ukmhl-b21981656_0001,362,342,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/362.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0362.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0362.jp2
ukmhl-b21981656_0001-70,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-70?routing=ukmhl-b21981656_0001,70,50,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/70.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0070.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0070.jp2
ukmhl-b21981656_0001-298,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-298?routing=ukmhl-b21981656_0001,298,278,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/298.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0298.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0298.jp2
ukmhl-b21981656_0001-326,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21981656_0001-326?routing=ukmhl-b21981656_0001,326,306,b21981656_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/4/items/b21981656_0001/b21981656_0001_alto/coordinates/326.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/10/items/b21981656_0001/b21981656_0001_thumb/b21981656_0001_0326.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/10/items/b21981656_0001/b21981656_0001_jp2/b21981656_0001_0326.jp2
