id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b24928306-202,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-202?routing=ukmhl-b24928306,202,188,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/202.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0202.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0202.jp2
ukmhl-b24928306-173,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-173?routing=ukmhl-b24928306,173,159,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/173.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0173.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0173.jp2
ukmhl-b24928306-214,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-214?routing=ukmhl-b24928306,214,200,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/214.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0214.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0214.jp2
ukmhl-b24928306-166,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-166?routing=ukmhl-b24928306,166,152,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/166.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0166.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0166.jp2
ukmhl-b24928306-99,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-99?routing=ukmhl-b24928306,99,85,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/99.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0099.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0099.jp2
ukmhl-b24928306-229,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-229?routing=ukmhl-b24928306,229,215,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/229.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0229.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0229.jp2
ukmhl-b24928306-98,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-98?routing=ukmhl-b24928306,98,84,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/98.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0098.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0098.jp2
ukmhl-b24928306-11,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-11?routing=ukmhl-b24928306,11,-,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/11.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0011.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0011.jp2
ukmhl-b24928306-102,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-102?routing=ukmhl-b24928306,102,88,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/102.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0102.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0102.jp2
ukmhl-b24928306-80,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b24928306-80?routing=ukmhl-b24928306,80,66,b24928306,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/29/items/b24928306/b24928306_alto/coordinates/80.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/29/items/b24928306/b24928306_thumb/b24928306_0080.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/29/items/b24928306/b24928306_jp2/b24928306_0080.jp2
