id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21298257-371,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-371?routing=ukmhl-b21298257,371,355,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/371.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0371.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0371.jp2
ukmhl-b21298257-293,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-293?routing=ukmhl-b21298257,293,277,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/293.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0293.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0293.jp2
ukmhl-b21298257-796,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-796?routing=ukmhl-b21298257,796,760,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/796.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0796.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0796.jp2
ukmhl-b21298257-38,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-38?routing=ukmhl-b21298257,38,28,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/38.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0038.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0038.jp2
ukmhl-b21298257-193,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-193?routing=ukmhl-b21298257,193,177,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/193.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0193.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0193.jp2
ukmhl-b21298257-686,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-686?routing=ukmhl-b21298257,686,656,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/686.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0686.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0686.jp2
ukmhl-b21298257-820,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-820?routing=ukmhl-b21298257,820,784,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/820.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0820.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0820.jp2
ukmhl-b21298257-848,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-848?routing=ukmhl-b21298257,848,812,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/848.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0848.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0848.jp2
ukmhl-b21298257-782,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-782?routing=ukmhl-b21298257,782,-,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/782.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0782.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0782.jp2
ukmhl-b21298257-192,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21298257-192?routing=ukmhl-b21298257,192,176,b21298257,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/18/items/b21298257/b21298257_alto/coordinates/192.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b21298257/b21298257_thumb/b21298257_0192.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b21298257/b21298257_jp2/b21298257_0192.jp2
