id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b22434550-21,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-21?routing=ukmhl-b22434550,21,23,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/21.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0023.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0023.jp2
ukmhl-b22434550-8,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-8?routing=ukmhl-b22434550,8,6,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/8.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0010.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0010.jp2
ukmhl-b22434550-26,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-26?routing=ukmhl-b22434550,26,28,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/26.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0028.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0028.jp2
ukmhl-b22434550-5,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-5?routing=ukmhl-b22434550,5,-,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/5.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0007.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0007.jp2
ukmhl-b22434550-6,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-6?routing=ukmhl-b22434550,6,-,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/6.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0008.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0008.jp2
ukmhl-b22434550-15,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-15?routing=ukmhl-b22434550,15,17,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/15.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0017.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0017.jp2
ukmhl-b22434550-28,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-28?routing=ukmhl-b22434550,28,30,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/28.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0030.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0030.jp2
ukmhl-b22434550-3,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-3?routing=ukmhl-b22434550,3,-,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/3.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0005.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0005.jp2
ukmhl-b22434550-7,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-7?routing=ukmhl-b22434550,7,-,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/7.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0009.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0009.jp2
ukmhl-b22434550-11,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-11?routing=ukmhl-b22434550,11,9,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/11.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0013.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0013.jp2
ukmhl-b22434550-17,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22434550-17?routing=ukmhl-b22434550,17,19,b22434550,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/2/items/b22434550/b22434550_alto/coordinates/17.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/2/items/b22434550/b22434550_thumb/b22434550_0019.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/2/items/b22434550/b22434550_jp2/b22434550_0019.jp2
