id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21467407-4,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-4?routing=ukmhl-b21467407,4,4,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/4.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0004.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0004.jp2
ukmhl-b21467407-9,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-9?routing=ukmhl-b21467407,9,9,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/9.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0009.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0009.jp2
ukmhl-b21467407-19,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-19?routing=ukmhl-b21467407,19,19,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/19.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0019.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0019.jp2
ukmhl-b21467407-8,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-8?routing=ukmhl-b21467407,8,8,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/8.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0008.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0008.jp2
ukmhl-b21467407-14,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-14?routing=ukmhl-b21467407,14,14,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/14.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0014.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0014.jp2
ukmhl-b21467407-24,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-24?routing=ukmhl-b21467407,24,24,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/24.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0024.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0024.jp2
ukmhl-b21467407-15,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-15?routing=ukmhl-b21467407,15,15,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/15.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0015.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0015.jp2
ukmhl-b21467407-1,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-1?routing=ukmhl-b21467407,1,-,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/1.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0001.jp2
ukmhl-b21467407-25,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-25?routing=ukmhl-b21467407,25,25,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/25.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0025.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0025.jp2
ukmhl-b21467407-5,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21467407-5?routing=ukmhl-b21467407,5,5,b21467407,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b21467407/b21467407_alto/coordinates/5.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b21467407/b21467407_thumb/b21467407_0005.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b21467407/b21467407_jp2/b21467407_0005.jp2
