id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21470194-276,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-276?routing=ukmhl-b21470194,276,254,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/276.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0276.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0276.jp2
ukmhl-b21470194-86,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-86?routing=ukmhl-b21470194,86,64,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/86.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0086.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0086.jp2
ukmhl-b21470194-70,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-70?routing=ukmhl-b21470194,70,48,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/70.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0070.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0070.jp2
ukmhl-b21470194-288,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-288?routing=ukmhl-b21470194,288,266,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/288.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0288.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0288.jp2
ukmhl-b21470194-142,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-142?routing=ukmhl-b21470194,142,120,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/142.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0142.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0142.jp2
ukmhl-b21470194-145,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-145?routing=ukmhl-b21470194,145,123,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/145.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0145.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0145.jp2
ukmhl-b21470194-338,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-338?routing=ukmhl-b21470194,338,316,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/338.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0338.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0338.jp2
ukmhl-b21470194-575,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-575?routing=ukmhl-b21470194,575,-,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/575.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0575.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0575.jp2
ukmhl-b21470194-513,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-513?routing=ukmhl-b21470194,513,491,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/513.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0513.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0513.jp2
ukmhl-b21470194-320,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-320?routing=ukmhl-b21470194,320,298,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/320.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0320.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0320.jp2
ukmhl-b21470194-298,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-298?routing=ukmhl-b21470194,298,276,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/298.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0298.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0298.jp2
ukmhl-b21470194-199,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-199?routing=ukmhl-b21470194,199,177,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/199.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0199.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0199.jp2
ukmhl-b21470194-241,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-241?routing=ukmhl-b21470194,241,219,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/241.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0241.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0241.jp2
ukmhl-b21470194-483,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-483?routing=ukmhl-b21470194,483,461,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/483.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0483.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0483.jp2
ukmhl-b21470194-146,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-146?routing=ukmhl-b21470194,146,124,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/146.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0146.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0146.jp2
ukmhl-b21470194-444,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-444?routing=ukmhl-b21470194,444,422,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/444.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0444.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0444.jp2
ukmhl-b21470194-264,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-264?routing=ukmhl-b21470194,264,242,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/264.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0264.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0264.jp2
ukmhl-b21470194-400,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-400?routing=ukmhl-b21470194,400,378,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/400.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0400.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0400.jp2
ukmhl-b21470194-39,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21470194-39?routing=ukmhl-b21470194,39,17,b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/coordinates/39.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0039.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b21470194/b21470194_jp2/b21470194_0039.jp2
